,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-75,Feb-75,Mar-75,Apr-75,May-75,Jun-75,Jul-75,Aug-75,Sep-75,Oct-75,Nov-75,Dec-75,Jan-76,Feb-76,Mar-76,Apr-76,May-76,Jun-76,Jul-76,Aug-76,Sep-76,Oct-76,Nov-76,Dec-76,Jan-77,Feb-77,Mar-77,Apr-77,May-77,Jun-77,Jul-77,Aug-77,Sep-77,Oct-77,Nov-77,Dec-77,Jan-78,Feb-78,Mar-78,Apr-78,May-78,Jun-78,Jul-78,Aug-78,Sep-78,Oct-78,Nov-78,Dec-78
Jamaica,Central America & Mexico,(JMD/60lb : F),Arabica,7.67,7.67,7.67,7.67,7.67,7.67,7.67,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,9.47,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,20.35,24.40,24.40,24.40,24.40,24.40
Mexico,Central America & Mexico,(PMx/SQ : P),Arabica,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,525.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,800.00,"2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,500.00","2,290.00","2,290.00","2,381.00","2,391.00","2,385.00","2,174.00","2,000.00","2,000.00","2,000.00","2,000.00","2,000.00","2,000.00","2,000.00","2,000.00","2,300.00"
Nicaragua,Central America & Mexico,(NCC/SQ : G),Arabica,334.00,334.00,334.00,334.00,334.00,334.00,334.00,334.00,334.00,334.00,334.00,334.00,571.00,571.00,571.00,711.00,711.00,711.00,937.00,937.00,937.00,"1,013.00","1,013.00","1,013.00",927.00,"1,142.00","1,271.00","1,557.00","1,665.00","1,896.00","1,648.00","1,282.00","1,239.00","1,094.00","1,068.00","1,251.00","1,426.00","1,265.00","1,251.00","1,089.00","1,005.00","1,047.00",907.01,633.00,852.00,773.00,759.00,731.00
Panama,Central America & Mexico,(PAB/SQ : G),Arabica,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,52.70,52.70,52.70,52.70,52.70,52.70,64.90,64.90,64.90,64.90,65.90,66.90,69.00,71.00,73.00,75.00,77.10,79.10,91.30,99.40,108.50,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,104.00,104.00,104.00
Trinidad & Tobago,Central America & Mexico,(TTD/lb : G),Robusta,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,4.05,2.95,2.95,2.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia (Plurinational State of),South America,(BOB/SQ : P),Arabica,380.00,380.00,380.00,450.00,450.00,450.00,500.00,500.00,500.00,550.00,550.00,550.00,650.00,650.00,650.00,720.00,720.00,720.00,850.00,850.00,850.00,870.00,950.00,"1,050.00","1,200.00","1,800.00","1,900.00","2,000.00","2,400.00","2,000.00","1,500.00","1,200.00","1,150.00","1,100.00","1,000.00","1,000.00","1,100.00","1,000.00",900.00,800.00,900.00,"1,100.00","1,152.00","1,168.00","1,336.00","1,292.00",930.00,920.00
Brazil,South America,(CRZ/60kg : G),Arabica,383.60,423.28,423.28,423.28,423.28,423.28,423.28,701.06,701.06,701.06,701.06,701.06,833.34,952.39,925.93,"1,164.03","1,362.44","1,335.99","1,203.71","1,269.85","1,375.67","1,415.35","1,679.91","1,865.09","2,037.05","2,341.29","3,386.27","3,095.26","2,473.56","2,063.51","1,812.18","1,706.36","1,653.45","1,613.77","1,957.68","1,970.91","1,944.46","1,944.46","1,785.73","1,719.59","1,693.13","1,825.41","1,679.91","1,759.27","1,825.41","1,798.95","1,759.27","1,732.82"
Colombia,South America,(COP/125kg : P),Arabica,"2,499.99","2,499.99","2,499.99","2,435.00","2,349.99","2,349.99","2,560.00","3,000.00","3,000.00","3,064.99","3,250.00","3,250.00","3,511.00","3,859.00","4,131.99","4,495.00","4,495.00","6,077.99","6,560.01","6,560.01","6,560.01","6,560.01","6,633.00","7,000.00","7,000.00","7,000.00","7,000.00","7,000.00","7,048.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00","7,300.00"
Ecuador,South America,(ECS/SQ : G),Arabica,723.00,703.00,413.00,580.00,593.00,687.00,783.00,"1,122.00","1,105.00","1,115.00",997.00,"1,051.00","1,181.00","1,267.00","1,353.00","1,610.00","1,919.00","2,095.00","1,616.00","2,004.00","2,096.00","2,344.00","2,810.00","3,360.00","3,511.00","3,740.00","4,824.00","4,556.00","3,004.00","2,776.00","2,687.00","2,775.00","2,765.00","2,118.00","2,088.00","2,306.00","2,605.00","2,219.00","1,779.00","1,767.00","1,815.00","1,984.00","1,596.00","1,713.00","2,086.00","2,043.00","1,950.00","1,794.00"
Peru,South America,(PES/kg : P),Arabica,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,3.00,5.00,5.00,5.00,6.00,6.00,6.00,7.00,7.00,7.00,9.00,11.00,12.00,14.00,17.00,18.00,17.00,17.00,14.00,12.00,13.00,17.00,17.00,17.00,16.00,15.00,16.00,18.00,18.00,16.00,16.00,19.00,20.00,19.00
Venezuela,South America,(VEB/SQ : G),Arabica,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,290.00,374.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00,625.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
