Ethiopia,Africa,(ETB/17kg : G),Arabica,99.86,105.67,105.42,98.78,108.99,108.49,116.40,117.09,115.07,115.59,126.60,119.13,136.74,137.23,145.96,148.58,152.49,159.12,152.35,147.05,146.91,153.15,195.21,222.64,226.41,246.59,238.46,243.60,217.21,213.87,187.84,197.39,188.63,164.47,187.27,191.38,218.64,197.10,192.90,184.86,178.38,169.85,162.13,162.07,161.67,160.40,216.99,276.93
Costa Rica,Central America & Mexico,(CRC/SQ : G),Arabica,"20,088.80","20,088.80","20,088.80","20,088.80","20,088.80","20,088.80","20,088.80","20,088.80","20,088.80","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","25,554.57","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","38,964.86","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","44,892.03","50,417.40","50,417.40","50,417.40"
Cuba,Central America & Mexico,(CUP/28lb : F),Arabica,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.00,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30,3.30
Dominican Republic,Central America & Mexico,(DOP/SQ : G),Arabica,"1,201.26","1,237.55","1,101.23","1,248.81","1,414.25","1,407.43","1,765.00","1,748.00","1,730.13","1,823.42","1,926.00","1,996.37","2,872.00","3,086.12","2,985.00","3,178.00","3,478.00","3,253.00","3,175.00","3,175.00","3,357.00","3,175.18","3,084.46","2,812.30","2,903.82","2,681.90","2,892.00","2,812.30","2,812.31","2,676.22","2,721.58","2,585.50","2,404.07","2,271.58","2,812.30","2,812.00","2,903.02","2,903.02","2,857.66","2,903.02","2,857.66","2,823.64","2,903.02","2,901.12","2,903.02","2,903.00","3,084.46","3,084.45"
El Salvador,Central America & Mexico,(CES/SQ : G),Arabica,230.74,235.04,205.89,233.41,252.63,205.52,222.27,218.71,247.30,227.09,211.54,245.27,308.86,318.60,331.19,299.73,321.25,361.78,317.08,289.98,356.65,340.90,416.06,523.08,538.21,635.16,752.76,695.80,698.69,641.46,557.29,534.01,487.03,536.38,551.69,516.16,670.69,620.38,603.49,603.49,557.73,506.01,517.83,572.78,571.29,571.20,667.98,723.89
Guatemala,Central America & Mexico,(GTQ/SQ : G),Arabica,354.70,425.86,388.50,410.63,431.37,409.33,420.01,427.85,329.02,395.02,301.72,382.70,501.14,519.60,510.47,568.53,483.98,637.82,480.11,550.68,556.69,523.64,546.51,587.34,611.08,673.83,741.96,736.00,735.00,863.66,724.82,757.69,744.47,770.18,622.63,605.92,630.63,659.30,766.12,734.89,780.00,742.00,683.88,659.56,659.56,663.11,712.82,745.14
Honduras,Central America & Mexico,(HNL/SQ : G),Arabica,698.34,772.59,753.22,748.68,750.38,694.97,713.32,747.04,730.78,738.40,714.38,744.21,812.74,901.72,944.66,935.85,925.29,910.23,890.12,914.35,901.13,694.93,"1,027.22","1,276.84","1,281.03","1,467.18","1,727.62","1,582.53","1,719.68","1,703.99","1,649.27","1,558.28","1,551.96","1,246.18","1,186.21","1,359.73","1,673.92","1,652.94","1,628.69","1,760.97","1,502.32","1,417.42","1,572.53","1,537.18","1,438.30","1,416.02","1,392.63","1,590.26"
Jamaica,Central America & Mexico,(JMD/60lb : F),Arabica,"1,151.62","1,151.62",500.00,"1,500.00","1,500.00","1,500.00",534.00,"1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,000.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,180.00","1,250.00","1,250.00","1,987.50","1,987.50","1,987.50","1,987.50","1,987.50","1,987.50","1,987.50","1,987.50","2,450.00","2,450.00","2,450.00","2,450.00","2,450.00","2,450.00","2,450.00","2,450.00","2,450.00"
Mexico,Central America & Mexico,(MXN/lb : G),Arabica,507.73,561.20,489.90,464.60,486.45,601.12,471.16,514.10,546.32,732.33,692.21,673.63,667.30,790.06,809.04,844.91,818.15,838.52,901.59,805.33,791.72,889.73,864.33,957.45,"1,133.66","1,131.97","1,276.58","1,436.73","1,338.72","1,312.21","1,211.96","1,100.21","1,085.99","1,372.13","1,036.12","1,314.45",10.07,10.09,9.42,9.84,8.25,8.37,8.65,9.10,8.18,8.32,12.02,9.33
Nicaragua,Central America & Mexico,(NIO/SQ : P),Arabica,403.90,403.90,403.90,403.90,403.90,403.90,403.90,403.90,403.90,476.50,476.50,476.50,476.50,476.50,476.50,476.50,476.50,476.50,476.50,476.50,476.50,687.95,687.95,687.95,687.95,687.95,687.95,687.95,687.95,687.95,687.95,687.95,687.95,809.45,809.45,809.45,809.45,809.45,809.45,809.45,809.45,809.45,809.45,809.45,809.45,917.50,917.50,917.50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,South America,(BRL/60kg : G),Arabica,190.74,193.03,174.97,175.00,172.99,159.58,162.77,173.51,173.90,167.35,167.69,174.53,193.24,203.52,206.22,202.10,217.53,239.77,200.61,198.98,219.27,215.95,240.38,269.70,284.40,305.07,337.03,336.40,324.55,300.90,255.61,253.78,230.41,244.36,252.90,248.13,291.50,269.75,254.44,248.82,234.86,224.58,218.16,232.82,233.47,235.12,269.13,291.35
Brazil,South America,(BRL/60kg : G),Robusta,151.33,151.68,130.25,125.43,115.88,106.01,116.56,133.20,129.13,125.04,127.28,131.69,143.89,133.66,124.47,127.28,131.69,139.81,127.72,132.80,140.24,137.37,136.73,138.95,145.35,152.87,153.94,149.40,159.31,160.85,155.90,150.27,127.28,131.69,139.81,163.78,179.54,179.42,179.75,167.15,154.36,158.60,160.80,171.94,183.01,185.92,202.95,216.42
Colombia,South America,(COP/125kg : P),Arabica,"323,960.00","319,306.00","299,077.00","312,607.00","314,892.00","290,018.00","318,348.00","300,744.00","300,848.00","297,034.00","298,938.00","304,424.00","336,659.00","334,500.00","342,815.00","326,563.00","346,363.00","378,455.00","320,449.00","319,324.00","351,858.00","349,262.00","388,233.00","422,168.00","416,774.00","483,369.00","558,516.00","519,012.00","501,801.00","464,125.00","413,232.00","409,658.00","383,551.00","432,601.00","449,102.00","449,256.00","524,938.00","474,144.00","445,266.00","469,474.00","459,641.00","449,903.00","452,101.00","461,120.00","442,238.00","428,801.00","476,739.00","509,875.00"
Ecuador,South America,(USD/SQ : G),Arabica,32.00,32.00,30.00,30.00,33.00,31.00,31.00,32.00,33.00,32.00,31.00,31.00,36.00,45.00,46.00,45.00,45.00,45.00,60.00,50.00,60.00,60.00,60.00,71.00,90.00,100.00,115.00,85.00,90.00,100.00,95.00,95.00,85.00,80.00,90.00,90.00,80.00,80.00,80.00,85.00,90.00,85.00,105.00,110.00,105.00,105.00,100.00,100.00
Ecuador,South America,(USD/SQ : G),Robusta,19.00,20.00,18.00,21.00,22.00,18.00,21.00,23.00,22.00,27.00,28.00,27.00,29.00,29.00,30.00,30.00,30.00,30.00,30.00,28.00,30.00,30.00,30.00,36.00,52.00,59.00,65.00,58.00,64.00,60.00,53.00,49.00,35.00,38.56,41.56,45.06,51.63,55.00,54.41,52.51,53.50,54.66,53.66,53.75,55.50,56.00,55.94,57.25
Peru,South America,(PEN/kg : P),Arabica,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,1.95,2.37,2.37,2.53,2.53,2.87,2.75,2.78,2.78,2.78,2.38,2.53,2.61,2.58,4.35,4.39,4.85,4.67,4.74,4.61,4.61,5.03,3.67,4.06,3.70,4.03,3.92,4.21,3.98,4.12,4.21,4.27,4.50,4.51,3.66,2.58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
