,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Paid to Growers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in Current Terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(National Currency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Continents,Currency_Type,Type of Coffee,Jan-99,Feb-99,Mar-99,Apr-99,May-99,Jun-99,Jul-99,Aug-99,Sep-99,Oct-99,Nov-99,Dec-99,Jan-00,Feb-00,Mar-00,Apr-00,May-00,Jun-00,Jul-00,Aug-00,Sep-00,Oct-00,Nov-00,Dec-00,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02
Thailand,Asia & Oceania,(THB/kg : G),Robusta,56.93,57.47,44.46,42.83,43.00,0.00,0.00,0.00,0.00,0.00,32.82,32.15,28.91,26.17,22.23,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.70,31.22,31.36,31.36,31.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.06,25.76,25.69,23.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Viet Nam,Asia & Oceania,(VND/kg : G),Robusta,"20,000.00","20,500.00","19,500.00","16,700.00","15,000.00","15,100.00","14,000.00","13,800.00","14,000.00","13,000.00","12,500.00","12,800.00","11,000.00","10,500.00","9,800.00","9,300.00","9,000.00","8,800.00","8,400.00","7,800.00","7,500.00","6,500.00","5,500.00","5,200.00","5,400.00","5,800.00","5,800.00","5,400.00","5,200.00","5,200.00","4,900.00","4,600.00","4,400.00","4,200.00","3,900.00","4,000.00","4,100.00","4,000.00","4,700.00","5,500.00","6,000.00","6,500.00","6,300.00","6,100.00","6,700.00","7,200.00","7,800.00","8,500.00"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Central America & Mexico,(CRC/SQ : G),Arabica,"22,828.31","22,828.31","22,828.31","22,828.31","22,828.31","22,828.31","22,828.31","22,828.31","22,828.31","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","23,661.32","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","15,401.99","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","16,077.61","20,088.80","20,088.80","20,088.80"
Cuba,Central America & Mexico,(CUP/28lb : F),Arabica,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80,8.80
Dominican Republic,Central America & Mexico,(DOP/SQ : G),Arabica,"1,329.75","1,177.02","1,181.18","1,118.96","1,288.32","1,218.74","1,038.18",979.11,872.90,"1,130.92","1,482.39","1,660.18","1,520.17","1,385.14","1,355.18","1,226.69","1,321.60","1,112.42","1,139.19",951.51,948.46,994.80,847.32,757.80,772.07,718.96,691.70,643.17,723.85,626.85,548.45,841.00,798.68,745.54,761.53,803.31,819.94,852.35,928.18,918.08,949.83,941.21,929.87,952.55,952.55,"1,105.00","1,089.76","1,080.26"
El Salvador,Central America & Mexico,(CES/SQ : G),Arabica,592.00,624.00,517.00,489.00,561.00,527.00,437.00,398.00,343.00,409.00,553.00,614.00,583.00,527.00,528.00,461.00,472.00,404.00,407.00,315.00,306.00,298.55,237.26,207.49,200.00,184.76,188.00,172.06,215.45,166.10,135.24,111.11,96.40,125.00,144.00,139.00,147.79,154.70,216.48,222.51,178.06,155.84,154.09,148.14,207.11,236.60,259.35,244.56
Guatemala,Central America & Mexico,(GTQ/SQ : G),Arabica,587.37,617.98,607.45,584.92,580.70,611.77,570.62,550.53,563.64,539.33,587.91,700.70,648.66,706.39,625.60,617.56,591.80,562.66,544.48,528.97,626.40,417.10,398.89,380.61,393.31,399.19,466.92,393.86,420.23,400.16,354.84,338.58,276.94,322.29,306.58,253.00,380.18,349.92,407.20,400.85,406.63,386.63,380.48,369.48,588.98,408.13,317.17,327.27
Haiti,Central America & Mexico,(HTG/kg : G),Arabica,8.50,8.50,8.50,8.50,8.50,8.50,8.40,8.40,8.40,8.40,8.40,9.60,10.45,11.20,10.00,11.05,11.15,12.35,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,Central America & Mexico,(HNL/SQ : G),Arabica,"1,054.64",979.44,987.27,957.26,963.56,842.78,930.24,755.85,524.49,645.96,906.00,"1,061.61","1,045.03","1,014.84",949.49,920.89,847.97,785.55,800.68,866.67,730.09,793.94,486.56,538.72,533.89,557.26,632.59,662.16,645.93,540.55,495.54,662.16,398.51,246.47,532.19,546.52,572.12,609.63,619.29,653.14,662.08,684.40,597.02,580.31,562.80,533.33,639.88,696.72
Jamaica,Central America & Mexico,(JMD/60lb : F),Arabica,500.00,500.00,500.00,500.00,500.00,500.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,893.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,700.00,700.00,700.00,,,700.00,700.00,700.00,700.00,400.00,400.00,"1,954.87","1,954.87","1,954.87","1,000.00","1,000.00","1,000.00","1,151.62","1,151.62","1,151.62"
Mexico,Central America & Mexico,(MXN/SQ : P),Arabica,793.00,760.00,720.00,598.00,593.98,640.00,627.00,460.00,517.50,485.15,650.33,702.36,687.70,653.20,592.25,558.63,510.03,506.49,442.34,437.00,390.05,399.63,363.03,356.91,378.14,427.38,461.72,410.55,414.00,405.37,390.00,378.60,402.00,437.00,411.13,392.73,337.53,350.18,460.00,384.10,302.45,283.00,287.08,285.11,335.62,359.28,412.28,430.10
Nicaragua,Central America & Mexico,(NIO/SQ : P),Arabica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.55,330.55,330.55,330.55,330.55,330.55,330.55,330.55,330.55,330.55,330.55,330.55,403.90,403.90,403.90
Trinidad & Tobago,Central America & Mexico,(TTD/lb : G),Robusta,4.99,4.99,4.99,4.99,4.99,4.99,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
